epoch	loss	acc	val_loss	val_acc
0	3.075659	0.074324	2.615398	0.247305
1	2.669470	0.147668	2.433860	0.335199
2	2.479497	0.238342	2.214756	0.453773
3	2.264707	0.312608	1.991269	0.487977
4	2.074187	0.369603	1.769897	0.582711
5	1.886412	0.431779	1.579172	0.587479
6	1.702510	0.476684	1.425035	0.652778
7	1.574984	0.513817	1.267105	0.671020
8	1.449042	0.574266	1.160774	0.693615
9	1.314699	0.603627	1.081842	0.711443
10	1.168382	0.645078	0.987910	0.706260
11	1.069593	0.683074	0.911391	0.740879
12	1.011740	0.702936	0.837873	0.782960
13	0.951633	0.714162	0.806420	0.776327
14	0.915848	0.724525	0.765152	0.775290
15	0.761305	0.775475	0.701501	0.794569
16	0.782073	0.755613	0.668999	0.782546
17	0.694899	0.779793	0.664364	0.812396
18	0.691784	0.795337	0.624362	0.805970
19	0.619748	0.825561	0.605580	0.811567
20	0.556706	0.836788	0.579638	0.817786
21	0.571662	0.832470	0.555648	0.835406
22	0.543280	0.827288	0.550288	0.829187
23	0.488410	0.854922	0.529877	0.824627
24	0.460451	0.867876	0.545297	0.822968
25	0.459975	0.862694	0.522195	0.829187
26	0.417927	0.872193	0.477393	0.829602
27	0.389803	0.871330	0.477469	0.822761
28	0.406981	0.876511	0.477174	0.852612
29	0.351807	0.901554	0.475326	0.835614
30	0.368834	0.881693	0.445436	0.829187
31	0.337186	0.900691	0.428981	0.836235
32	0.318188	0.903282	0.437777	0.864221
33	0.299530	0.912781	0.430140	0.846186
34	0.277048	0.916235	0.404062	0.865050
35	0.271253	0.916235	0.414901	0.864428
36	0.262694	0.914508	0.413541	0.870439
37	0.279351	0.903282	0.412885	0.853234
38	0.243972	0.923142	0.430496	0.841003
39	0.256871	0.921416	0.402877	0.859245
40	0.234503	0.922280	0.415059	0.864635
41	0.224131	0.933506	0.407771	0.859245
42	0.236980	0.931779	0.389987	0.876036
43	0.228825	0.925734	0.394792	0.858002
44	0.227838	0.932642	0.380314	0.870854
45	0.212406	0.931779	0.409735	0.858831
46	0.201960	0.938687	0.404068	0.853027
47	0.185606	0.947323	0.362725	0.877280
48	0.183695	0.946459	0.360573	0.881841
49	0.175812	0.949050	0.361381	0.882255
